code,name,scie,lang,grup,regn,tags,yield,preparation
D045,"Cucumber, orange, round",Cucumis sativus,A. Tiyoh; B. Sosha; G. Kakdi; H. Kakadi; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia pyllon; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.,Other Vegetables,2,vegetarian eggetarian fishetarian veg,0.8416666667,"Washing, Trimming ends (optional: peeling)"
D046,Drumstick,Moringa oleifera,"A. Sajina; B. Sajna danta; E. Horseradish, Benzoil; G. Saragavo; H. Saijan-ki-phalli; Kan. Nugga kayi; Kh. Dieng sajana; Mal. Muringakkai; M. Sajana; Mar. Shevanga sheng; O. Sajana chhuin; P. Suhanjana di phalliya; Tam. Murungakkai; Tel. Mulakaada; U. Sujne ki palli.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.7833333333,"Washing, Trimming ends (optional: scraping)"
D047,"Field beans, tender, broad",Phaseolus vulgaris,"A. Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Vidaiavarai; Tel. Chikkudu ginjalu; U. Sem ki palli.",Other Vegetables,2,vegetarian eggetarian fishetarian veg,0.65,"Washing, Shelling (optional: double podding)"
D048,"Field beans, tender, lean",Phaseolus vulgaris,"A.Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tel. Chikkudu ginjalu; Tam. Vidaiavarai; U. Sem ki palli.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.65,"Washing, Shelling (optional: double podding)"
D049,"French beans, country",Phaseolus vulgaris,A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin phyrngop; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans.,Other Vegetables,5,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Trimming ends"
D050,"French beans, hybrid",Phaseolus vulgaris,A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans.,Other Vegetables,2,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Trimming ends"
D051,"Jack fruit, raw",Artocarpus heterophyllus,A. Kothal; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kash. Bindu; Kan. Halasu; Kh. Soh phan; M. Theibong; Mal. Chakka; Mar. Phanas; N. Katahar; O. Panasa; P. Kathal ki beej; S. Panasa; Tam. Palapazham; Tel. Panasa; U. Kathahal.,Other Vegetables,5,vegetarian eggetarian fishetarian veg,0.5833333333,"Peeling, Removing core, Separating flesh and seeds"
D052,"Jack fruit, seeds, mature",Artocarpus heterophyllus,A. Kothal guti; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kan. Halasu; Kash. Bindu; Kh. Shyieng soh phan; Mal. Chakka; M. Theibong Maru; Mar. Phanas; N. Katahar; P. Kathal; S. Panasa; Tam. Palakkottai; Tel. Panasa; U. Kathahal.,Other Vegetables,5,vegetarian eggetarian fishetarian veg,0.7166666667,"Washing, Boiling/Roasting, Shell removal"
D053,Knol - Khol,Brassica oleracea,A. Oolkobi; B. Olkopi; E. Wild cabbage; G. Nol-kol; H. Kohl-rabi; Kan. Noolkol; Kash. Monjh haak; Kh. Phan kubi; Mal. Noolkol; M. Kobi Maru Kabi; Mar. Nol-kol; N. Gyathkopi; O. Ulkobi; P. Ganth gobi; Tam. Knoolkol; Tel. Noolkol.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.7666666667,"Washing, Trimming root and top, Peeling"
D054,"Kovai, big",Coccinia cordifolia,"A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.84,"Washing, Trimming ends"
D055,"Kovai, small",Coccinia cordifolia,"A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli.",Other Vegetables,1,vegetarian eggetarian fishetarian veg,0.84,"Washing, Trimming ends"
D056,Ladies finger,Abelmoschus esculentus,"A. Bhendi; B. Dherosh; E. Okra, Okro, Ochro; G. Bhinda; H. Bhindi; Kan. Bende; Kash. Bindi; Kh. bindi; Mal. Vendakkai; M. Belandri; Mar. Bhendi; N. Ramtoriya; O. Bhendi; P. Bhindi; S. Bhindikaa; Tam. Vendaikkai; Tel. Bendakaya; U. Bhendi.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.8733333333,"Washing, Stem trimming"
D057,"Mango, green, raw",Mangifera indica,A. Keasa aam; B. Aam (kancha); G. Ambo; H. Katcha Aam; Kan. Mavinakayi; Kash. Kach Aamb; Kh. Soh pieng im; Mal. Manga; M. Heinou Ashangba; Mar. Amba; O. Ambu (kacha); P. Kaccha aam; Tam. Mangai; Tel. Mamidikaya; U. Kaccha aam.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.6833333333,"Washing, Peeling, Seed removal"
D058,"Onion, stalk",Allium wakegi,"A. Piyaj paat; B. Piyaz kali; E. Spring onion, Onion greens; G. Dunglina dakkadi (Onion dakkadi); H. Pyaz; Kan. Erulli soppu; Kash. Pichiganda; Kh. Sla piat; Mal. Ulli thandu; M. Tilhou mana; Mar. Pati; N. Chhayapi ko Saag; O. Piaja sandha; P. Hare pyaaz; Tam. Vengaya thaal; Tel. Ulli kadalu; U. Hari pyaaz.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.7666666667,"Washing, Trimming ends"
D059,"Papaya, raw",Carica papaya,"A. Kesa omita; B. Pempe (Kacha); E. Papaw, Pawpaw; G. Papayi; H. Katcha pepita; Kan. Parangi; Kh. Soh kymphor im; Kash. Papita; Kon. Dudde; Mal. Omakaya; M. Awathabi Ashangba; Mar. Papaya; O. Amrutabhanda; P. Katcha Pepita; Tam. Pappalikkaai; Tel. Boppayi kaya; U. Papaya.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.75,"Washing, Peeling, Deseeding"
D060,Parwar,Trichosanthes dioica,A. Potol; B. Potol; E. Pointed gourd; G. Padval; H. Parwal; Kan. Mara thonde; Kh. Patol rit; Mal. Kovakkai; Mar. Parwar; O. Potala; P. Parwal; Tel. Kommu potla; U. Parwal.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.84,"Washing, Trimming ends"
D061,"Peas, fresh",Pisum sativum,"A. Matar mah; B. Motor shuti; G., Mar. Vatana; Kash. Kaza; O. Matara; H. Matar; Kan., Tel. Batani; Kash. Matar; Kh. Mator; M. Hawai tharaak; P. Hare matar; Mal., Tam. Paccha pattani.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.6833333333,Shelling
D062,"Plantain, flower",Musa sapientum,A. Koldil; B. Mocha; E. Banana flower; G. Kel phool; H. Kele-ka phool; Kan. Bale motho; Kh. Pashor kait; Mal. Vazhapoo; M. Lafu Tharo; Mar. Kel phool; O. Kadali bhanda; P. Kele-da-phool; Tam. Vazhapoo; Tel. Arati puvvu; U. Kela ka phool.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.6833333333,"Washing, Separating edible parts"
D063,"Plantain, green",Musa sapientum,A. Kaskol/Purakol; B. Kela (kanch); E. Cooking banana; G. Kela; H. Kele (hara); Kan. Bale kayi; Kash. Kham kael; Kh. Kait im; Mal. Vazhakkai; M. Laphoi Ashangba; M. Laphoi Ashangba; Mar. Kel (hara); N. Bungo; O. Bantala kadali; P. Kela (hara); S. Rambhaa ; Tam. Vazhakkaai; Tel. Arati kayi; U. Kaccha kela.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.7,"Washing, Peeling"
D064,"Plantain, stem",Musa sapientum,A. Posola; B. Thor; E. Banana stem; G. Kelanu thed; H. Kele-ka-tana; Kan. Bele Dindu; Kh. Nud kait; Mal. Unnipindi; M. Lafu; Mar. Kelicha khunt; O. Kadali manja; P. Kele da tana; Tam. Vazhai thandu; Tel. Arati doota.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.6166666667,"Washing, Peeling outer layers"
D065,"Pumpkin, green, cylindrical",Cucurbita maxima,A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi kaya; U. Kaddu.,Other Vegetables,1,vegetarian eggetarian fishetarian veg,0.7333333333,"Washing, Peeling, Deseeding"
D066,"Pumpkin, orange, round",Cucurbita maxima,A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw saw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi; U. Kaddu.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.7333333333,"Washing, Peeling, Deseeding"
D067,"Red gram, tender, fresh",Cajanus cajan,E. Pigeon pea; H. Arhar ki fali; Tam. Thuvarai; Tel. Pacchi Kandulu; U. Hara tuvar.,Other Vegetables,1,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Trimming ends"
D068,Ridge gourd,Luffa acutangula,"A. Jikaa; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel ; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janhi; P. Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.7833333333,"Washing, Trimming ends, Peeling (optional: deseeding)"
D069,"Ridge gourd, smooth skin",Luffa acutangula,"A. Bhol; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janchi; P.  Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai.",Other Vegetables,3,vegetarian eggetarian fishetarian veg,0.7833333333,"Washing, Trimming ends, Peeling (optional: deseeding)"
D070,"Snake gourd, long, pale green",Trichosanthes anguina,A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.7333333333,"Washing, Trimming ends, Peeling, Deseeding"
D071,"Snake gourd, long, dark green",Trichosanthes anguina,A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.,Other Vegetables,2,vegetarian eggetarian fishetarian veg,0.7333333333,"Washing, Trimming ends, Peeling, Deseeding"
D072,"Snake gourd, short",Trichosanthes anguina,A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.,Other Vegetables,1,vegetarian eggetarian fishetarian veg,0.7333333333,"Washing, Trimming ends, Peeling, Deseeding"
D073,"Tinda, tender",Praecitrullus fistulosus,"E. Indian squash, Round melon, Indian round gourd, Apple gourd, Indian baby pumpkin; G. Tadabuch; H. Tinda; Kan. Thondekkai; Kash. Tinda; Mar. Dhemase; N. Tinda; P. Tinda; U. Tinde.",Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Trimming ends"
D074,"Tomato, green",Solanum lycopersicum,A. Kesa bilahi; B. Kacha Tomato; H. Tamator ; Kan. Goore Hannu; Kash. Rowagun; Kh. Soh saw jyrngam; Mal. Takkali; M. Khamen Ashinba; Mar. Hara velvangi; O. Bilati Baigan; P. Kaccha tamator; Tam. Thakkali kai; Tel. Ramamulagakaya; U. Kaccha tamatar.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.8583333333,"Washing, Stem removal"
D075,"Tomato, ripe, hybrid",Solanum lycopersicum,A. Poka bilahi; B. Tomato; G. Tameta; H. Tamator; Kan. Goore Hannu; Kash. Rowangun; Kh. Soh saw dkhar; Mal. Takkali pazham; M. Khamen ashinba; Mar. Velvangi; O. Bilati baigan; P. Pakke tamator; S. Rakta phalam; N. Gholobheda; Tam. Takkali pazham; Tel. Ramamulagakaya; U. Pakka tamatar.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.8583333333,"Washing, Stem removal"
D076,"Tomato, ripe, local",Solanum lycopersicum,A. Poka bilahi; B. Tomato; G. Tameta; H. Tamator; Kan. Goore Hannu; Kash. Rowangun; Mal. Takkali pazham; M. Khamen ashinba; Mar. Velvangi; N. Gholobheda; O. Bilati Baigan; P. Pakke tamator; S. Rakta phalam; Kh. Soh saw khasii; Tam. Takkali pazham; Tel. Ramamulagakaya; U. Pakka tamatar.,Other Vegetables,6,vegetarian eggetarian fishetarian veg,0.8583333333,"Washing, Stem removal"
D077,"Zucchini, green",Cucurbita pepo,"B. Dhudul; E. Courgette, Summer squash; H. Sabed kaddu; Kan. Dilpasand; Kash. Kaashiral; Mar. Kashi bhopla; O. Golu phubi kakuri; Tam. Seemai suraikayi.",Other Vegetables,2,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Trimming ends"
D078,"Zucchini, yellow",Cucurbita pepo,"B. Dhudul; E. Courgette, Summer squash; H. Sabed kaddu; Kan. Dilpasand; Kash. Kaashiral; Mar. Kashi bhopla; O. Golu phubi kakuri; Tam. Seemai suraikayi.",Other Vegetables,2,vegetarian eggetarian fishetarian veg,0.8566666667,"Washing, Trimming ends"
E001,"Apple, big",Malus domestica,"A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple saw; Mal., Tam. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tel. Sepu/Sema regu; U. Saib.",Fruits,6,vegetarian eggetarian fishetarian veg,0.845,"Washing, Coring"
E002,"Apple, green",Malus domestica,A. Apel; B. Sev; G. Lila safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple Jyrngam; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib.,Fruits,6,vegetarian eggetarian fishetarian veg,0.845,"Washing, Coring"
E003,"Apple, small",Malus domestica,A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple saw; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib.,Fruits,6,vegetarian eggetarian fishetarian veg,0.845,"Washing, Coring"
E004,"Apple, small, Kashmir",Malus domestica,A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Seb; Kash. Tsoonth; Kh. Soh apple saw; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib.,Fruits,1,vegetarian eggetarian fishetarian veg,0.845,"Washing, Coring"
E005,"Apricot, dried",Prunus armeniaca,A. Malhoi; B. Suska khubani; G. Jardaloo (Suka velu); H. Khoomani; Kan. Jaldaru Hannu; Kash. Tser; Mal. Sheema bedhaam pazham; M. Malhei; Mar. Jardaalu; N. Khattu; P. Kharamani; Tel. Seema Badam/ Jallaru Pandu; Tam. Sakkarai badhami; U. Khubaani.,Fruits,6,vegetarian eggetarian fishetarian veg,0.9483333333,Washing
E006,"Apricot, processed",Prunus armeniaca,A. Malhoi; B. Suska khubani; G. Jardaloo; H. Khoomani; Kan. Jaldaru Hannu; Kash. Tser; Mal. Sheema bedhaam pazham; M. Malhei; Mar. Jardaalu; N. Khattu; P. Kharamani; Tam. Sakkarai badhami; Tel. Seema Badam/ Jallaru Pandu; U. Khubaani.,Fruits,3,vegetarian eggetarian fishetarian veg,1,None
E007,Avocado fruit,Persea  americana,B.  Kulunashpati; H. Makhanphal; Kan. Bennephala/Bennehannu; Kash. Goshtub tang; Mal. Aathachakka/ Venna-pazham; Mar. Makhan phal; P. Makhan phal; Tam. Vennaipazham.,Fruits,1,vegetarian eggetarian fishetarian veg,0.7866666667,"Washing, Pit removal, Skin removal"
E008,Bael fruit,Aegle marmelos,"B. Bel; E. Indian bael, Bengal quince, Golden apple, Japanese bitter orange, Stone apple, Wood apple; G. Bila; H. Bel; Kh. Soh bel; Mal. Vilwa pazham; M. Heiri Khagok; P. Bhel; Mar. Bel; Tam. Vilwa pazham; Tel. Marendu pandu.",Fruits,1,vegetarian eggetarian fishetarian veg,0.6533333333,"Washing, Shell removal, Pulp extraction"
E009,"Banana, ripe, montham",Musa x paradisiaca,A. Poka kol; B. Kola(paka); G. Paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait syiem; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella;   S. Kadalii; Tam. Vazha pazham; Tel. Arati pandu; U. Kela.,Fruits,1,vegetarian eggetarian fishetarian veg,0.7283333333,Peeling
E010,"Banana, ripe, poovam",Musa x paradisiaca,A. Poka kol; B. Kola (paka); G. Paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait mon/ ja; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Vazha pazham; Tel. Arati pandu; U. Kela.,Fruits,2,vegetarian eggetarian fishetarian veg,0.7283333333,Peeling
E011,"Banana, ripe, red",Musa paradisiaca,A. Poka kol; B. Kola (paka); G. Lal paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait saw; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Sevvazhaipazham; Tel. Arati pandu; U. Kela.,Fruits,1,vegetarian eggetarian fishetarian veg,0.7283333333,Peeling
E012,"Banana, ripe, robusta",Musa x paradisiaca,A. Poka kol; B. Kola (paka); G. keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait jaji; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Vazhaipazham; Tel. Arati pandu; U. Kela.,Fruits,6,vegetarian eggetarian fishetarian veg,0.7283333333,Peeling
E013,Black berry,Rubus sp.,A. Kola jamu; B. Kalojam; E. Blackberry; G. Jambu; H. Kala Jamun; Kan. Neralai; Kh. Soh jam/ Soh jamun; Mal. Naval pazham; M. Jaam; Mar. Jambhool; O. Jamukoli; P. Jamun; Tam. Nagapazham; Tel. Neredupandu.,Fruits,5,vegetarian eggetarian fishetarian veg,0.9133333333,Washing
E014,"Cherries, red",Prunus avium,G. Cherry; H. Gilas; Kan. Kadugempu; Kash. Gilas; Kh. Soh sherri; Mal. Cherrypazham; Mar. Cherry phal; P. Cherry; Tam. Cherry pazham; Tel. Cherri pandu.,Fruits,4,vegetarian eggetarian fishetarian veg,0.87,"Washing, Pitting"
E015,"Currants, black",Ribes nigrum,"A. kismis; E. Zante currants, Corinth raisins, Corinthian raisins; G. kadi draksh; H. Munakka; Kan. Nerale hannu; Kh. Soh kismis iong; Mal. Najavalppazham; Mar. Kala pravaha; Tam. Karunthiratcha; Tel. Nalla Kishmish; U. kala kishmish.",Fruits,1,vegetarian eggetarian fishetarian veg,0.9116666667,"Washing, Destemming"
E016,Custard apple,Annona squamosa,"A. Sitaphal; B. Ata; E. Sugar apple, Sweetsop; G. Sitapad; H. Sharifa; Kan. Sharifa; O. Ata; Mal., Mar. Sitaphal; P. Sharifa; Tam. Seethapazham; Tel. Sitaphalam.",Fruits,1,vegetarian eggetarian fishetarian veg,0.7033333333,"Washing, Pulp extraction (skin and seeds removed)"
E017,"Dates, dry, pale brown",Phoenix dactylifera,A. Khajur; B. Kharjura; E. Date palm; G. Kharek; H. Chuhara; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Chawara; S. Kharjura; Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.,Fruits,6,vegetarian eggetarian fishetarian veg,0.9283333333,"Washing, Pitting"
E018,"Dates, dry, dark brown",Phoenix dactylifera,A. Khajur; B. Kharjura; E. Date palm; G. Chuhara; H. Khajur; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Chawara; S. Kharjura;   Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.,Fruits,2,vegetarian eggetarian fishetarian veg,0.9283333333,"Washing, Pitting"
E019,"Dates, processed",Phoenix dactylifera,A. Khajur; B. Kharjura; E. Date palm; G. Khajur; H. Khajur; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur im; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Khajur; S. Kharjura ; Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.,Fruits,2,vegetarian eggetarian fishetarian veg,1,None
E020,Fig,Ficus Carica,A. Dimoru; B. Dumura; E. Common fig; G. Anjir; H. Anjeer; Kan. Anjurada hannugalu; Kash. Anjeer; Kh. Soh Dimbur; Mal. Athipazham; M. Heirit; Mar. Anjir; N. Anjir; O. Dimiri; S. Anjiira; P. Anjeer; Tam. Athipazham; Tel. Atti pandu; U. Anjeer.,Fruits,6,vegetarian eggetarian fishetarian veg,0.895,"Washing, Stem removal"
E021,Goosberry,Emblica officinalis,A. Amlakhi; E. Indian Gooseberry; G. Amla; H. Amla; Kan. Betta nelli; Kh. Soh mylleng; Mal. Nellikka; M. Heikru; Mar. Amla; O. Aanla; P. Olle; Tam. Nellikkai; Tel. Usirikaya.,Fruits,5,vegetarian eggetarian fishetarian veg,0.8783333333,"Washing, Trimming ends"
E022,"Grapes, seeded, round, black",Vitis vinifera,A. Angoor; B. Angoor; G. Kadi Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Panneer dratchai; Tel. Draksha padu.,Fruits,4,vegetarian eggetarian fishetarian veg,0.925,"Washing, Destemming"
E023,"Grapes, seeded, round, green",Vitis vinifera,A. Angoor; B. Angoor; G. Lili Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape jyrngam; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,5,vegetarian eggetarian fishetarian veg,0.925,"Washing, Destemming"
E024,"Grapes, seeded, round, red",Vitis vinifera,A. Angoor; B. Angoor; G. Lal Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape saw; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,5,vegetarian eggetarian fishetarian veg,0.925,"Washing, Destemming"
E025,"Grapes, seedless, oval, black",Vitis vinifera,A. Angoor; B. Angoor; G. Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,5,vegetarian eggetarian fishetarian veg,0.925,"Washing, Destemming"
E026,"Grapes, seedless, round, green",Vitis vinifera,A. Angoor; B. Angoor; G. Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape jyrngam; Mal. Mundiringa; M. Angoor; Mar. Draksha ; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,5,vegetarian eggetarian fishetarian veg,0.925,"Washing, Destemming"
E027,"Grapes, seedless, round, black",Vitis vinifera,G. Kadi Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,5,vegetarian eggetarian fishetarian veg,0.925,"Washing, Destemming"
E028,"Guava, white flesh",Psidium guajava,A. Madhurium; B. Peyara; G. Jamphad; H. Amrud; Kan. Seebe; Kash. Amrodh; Kh. Soh pyriam; Mal. Perakka (nattu); M. Pungton; Mar. Peru; N. Aamba; O. Pijuli (deshi); P. Amrud; S. Peruka; Tam. Koiyapazham; Tel. Jama pandu; U. Amrood.,Fruits,5,vegetarian eggetarian fishetarian veg,0.8616666667,"Washing, Trimming ends"
E029,"Guava, pink flesh",Psidium guajava,H. Amrud; Tel. Jama pandu; Tam. Koiyapazham; Kan. Seebe; Mal. Perakka; Mar. Peru; O. Pijuli; B. Peyara; G. Lal jamphad; P. Amrud; A. Madhurium; Kash. Amrodh; S. Peruka; N. Aamba; M. Bilaiti pungton; Kh. Soh pyriam.,Fruits,5,vegetarian eggetarian fishetarian veg,0.8616666667,"Washing, Trimming ends"
E030,"Jack fruit, ripe",Artocarpus heterophyllus,"A. Kothal; B. Kanthal; E. Jakfruit, Jak; G. Phanas; H. Kathal; Kan. Halasu; Kh. Soh phan; Mal. Chakka; M. Theibong; Mar. Phanas; N. Katahar; O. Panasa; P. Kathal; Kash. Bindu; S. Panasa; Tam. Palapazham; Tel. Panasa; U. Kathahal.",Fruits,5,vegetarian eggetarian fishetarian veg,0.7033333333,"Washing, Skin/Core removal, Separating flesh/seeds"
E031,"Jambu fruit, ripe",Syzygium samarangense,"A. Jamu; B. Jaamrool; E. Java apple, Semarang rose apple, Wax jambu; H. Jamun; Kan. Neralai; Mal. Naval pazham; Mar. Jambhool; O. Jamukoli; P. Jamun; Tam. Nagapazham; Tel. Neredupandu.",Fruits,2,vegetarian eggetarian fishetarian veg,0.8283333333,"Washing, Stem removal"
E032,Karonda fruit,Carissa carandas,"A. Korja tenga; B. Koromcha; G. Karamda; H. Balalak, dindimi; Kan. Karekayi; Mar. Karvand; Mal. Karakka; O. Sushena; P. Karonda; S. Karamazda; Tam. Kalakkay/ Parungala; Tel. Kalive.",Fruits,1,vegetarian eggetarian fishetarian veg,0.8033333333,"Washing, Deseeding"
