code,name,steaming,roasting,microwaving,grilling,frying,boiling,steaming_explanation,roasting_explanation,microwaving_explanation,grilling_explanation,frying_explanation,boiling_explanation
f16d1cn7,Palmitoleic acid (C16:1),1.000,0.950,0.975,0.880,0.950,0.850,Monounsaturated; stable under heat.,Some oxidation possible; retention near 95%.,Microwaving does not isomerize or oxidize this MUFA.,Moderately heat-sensitive MUFA; some oxidation possible,Moderately stable MUFA,Common plant MUFA; stable during boiling
f18d1cn9,Oleic acid (C18:1n9),1.000,0.950,0.975,0.880,0.950,0.850,Oleic acid is heat-stable and retained.,Oleic acid moderately stable; minor oxidation at high temps.,Most common MUFA; stable under microwave conditions.,Well-retained MUFA but susceptible to heat/light oxidation,Most common MUFA; slightly oxidized during frying,Stable; most abundant MUFA
f18d1tn9,Elaidic acid (C18:1n9t),1.000,0.900,0.975,0.880,0.950,0.850,Trans fat not affected by steaming.,Trans fats are less stable; can oxidize more readily during high-heat roasting.,Trans fats do not degrade or form under normal microwaving.,Trans-MUFA; similar to cis-oleic in thermal behavior,Trans form; similar retention to cis MUFAs,Trans fat; boiling doesn’t reduce
f20d1cn9,Eicosenoic acid (C20:1n9),1.000,0.950,0.975,0.880,0.950,0.850,Stable under moist heat.,Eicosenoic acid shows stability trends similar to oleic.,No isomerization or degradation noted in literature.,Long-chain MUFA; assumed similar retention as oleic,MUFA with modest degradation,Long-chain MUFA; stable
f22d1cn9,Erucic acid (C22:1n9),1.000,0.950,0.975,0.880,0.900,0.850,Long-chain MUFA; retained in steam.,Erucic acid is generally heat-stable in seeds.,Stable MUFA; assumed consistent with others in class.,Stable MUFA; mild oxidation possible,Less stable long-chain MUFA,Heat stable; retention assumed high
f24d1cn9,Nervonic acid (C24:1n9),1.000,0.950,0.975,0.880,0.900,0.850,Assumed stable during steaming.,Nervonic acid retained in nuts; minor oxidation possible.,No transformation under heat reported.,Long MUFA; retained similarly to other unsaturated FAs,Long-chain MUFA; heat-sensitive,Long-chain FA; no degradation during boiling
f18d2cn6,Linoleic acid (C18:2n6),1.000,0.900,0.950,0.800,0.800,0.850,PUFA retained under mild steaming conditions.,PUFA most prone to degradation; oxidation risk in high heat.,PUFA; sensitive to oxidation but stable under short microwave exposure.,PUFA; sensitive to heat-induced oxidation,Polyunsaturated and prone to oxidation during frying,PUFA; relatively stable unless oxidized
f20d2n6,Eicosadienoic acid (C20:2),1.000,0.900,0.950,0.800,0.800,0.850,Stable PUFA in steam.,Similar to linoleic acid; moderate retention with some degradation risk.,"Polyunsaturated, but retained unless overheated (>5 mins).",PUFA; degrades under high heat; moderate loss,PUFA with moderate stability,Less common but similar to linoleic in boiling
f22d2n6,Docosadienoic acid (C22:2),1.000,0.900,0.950,0.800,0.800,0.850,No degradation in moist heat.,Same PUFA trend applies; minor oxidation expected.,Stable under low-heat exposure; like other PUFAs.,Less common PUFA; similar thermal sensitivity,Sensitive to oxidation at high heat,PUFA; assumed retention based on structure
f18d3n3,α-Linolenic acid (C18:3n3),1.000,0.900,0.950,0.750,0.750,0.800,Omega-3 PUFA retained during steaming (based on fish data).,Alpha-linolenic acid moderately sensitive to oxidation during roasting.,PUFA; slight oxidative loss possible; antioxidants help retention.,Highly heat-sensitive PUFA; prone to oxidation,Highly susceptible to oxidative degradation,More sensitive PUFA; slightly lower retention
f20d3n6,Eicosatrienoic acid (C20:3n6),1.000,0.900,0.950,0.780,0.750,0.850,Stable during steaming.,PUFA class; roasting may reduce bioactivity slightly.,Polyunsaturated; oxidatively stable during normal microwaving.,PUFA with moderate thermal instability,Similar oxidation profile as other PUFAs,Assumed similar to other n-6 PUFAs
f20d4n6,Arachidonic acid (C20:4n6),1.000,0.900,0.950,0.780,0.800,0.850,PUFA retained under gentle steam conditions.,Arachidonic acid relatively stable under dry roasting.,Oxidation-resistant in short cooking; PUFA generally stable.,PUFA with high oxidative degradation risk,Moderately sensitive PUFA,Stable PUFA; assumed boiling retention
f20d5n3,Eicosapentaenoic acid (C20:5n3),1.000,0.900,0.950,0.750,0.750,0.800,EPA shown to retain ~100% in fish studies with steam.,EPA is heat-sensitive; partial degradation during roasting.,Omega-3 PUFA; oxidation limited in microwave use.,Omega-3; very sensitive to heat and air,Highly reactive omega-3; degrades in heat,Heat-sensitive omega-3; moderate loss
f22d5n3,Docosapentaenoic acid (C22:5n3),1.000,0.900,0.950,0.750,0.750,0.800,PUFA stable in fish steaming studies.,Similar oxidation trend as EPA.,Same retention behavior as EPA/DHA class.,PUFA; similar to EPA/DHA in vulnerability,Similar to EPA; prone to breakdown,Similar sensitivity as EPA
f22d6n3,Docosahexaenoic acid (C22:6n3),1.000,0.900,0.950,0.700,0.700,0.800,DHA retained completely during steaming per seafood research.,DHA is oxidation-prone; some loss in high-heat environments.,Heat-sensitive but retained well under short cook durations.,Most heat-sensitive FA; substantial loss under grilling,Most sensitive PUFA; highly degraded in deep-frying,Most heat-sensitive PUFA; avg 80%
fasat,Saturated Fatty acids,1.000,1.000,0.975,0.900,1.000,0.850,No loss in steaming; heat-stable.,Saturated fats remain fully intact during roasting.,Stable; microwaving does not alter saturated fat profile.,Generally retained well; lost only through fat drippings,Very stable under high temperatures,Highly stable; minimal boiling loss
fams,Monounsaturated Fatty acids,1.000,0.950,0.975,0.880,0.950,0.850,Stable fatty acids; no oxidation under steam.,Monounsaturated fats slightly oxidized at high temps.,Stable; no evidence of breakdown under normal conditions.,Moderate loss via oxidation or surface fat melting,Stable but oxidize slightly during frying,Stable; retention high under boiling
fapu,Polyunsaturated Fatty acids,1.000,0.900,0.950,0.780,0.800,0.800,PUFAs stable under short-duration steaming; no loss noted.,PUFAs prone to degradation; retention ~90% on average.,May oxidize at longer cooking durations; short times preserve well.,Most prone to heat/oxidative loss; retention lowest among fats,Susceptible to oxidative degradation under frying heat,Less stable than other fats; minor oxidative loss
cholc,Cholesterol,1.000,1.000,1.000,0.900,0.900,0.850,No degradation occurs; cholesterol not water-soluble or heat-labile.,Stable; not heat-sensitive during roasting.,Stable; no breakdown during microwaving reported.,Stable compound; some melts away with fat but not degraded,Partially oxidized at frying temperatures,Stable but may dissolve in broth; average from meat boiling data
his,Histidine,0.988,0.950,0.975,0.950,0.950,0.850,Amino acids are mostly heat-stable; steaming retains them mostly.,Heat-stable amino acid; generally retained during roasting.,Stable amino acid; not heat-labile under microwaving.,Heat-stable amino acid; minor degradation possible,Stable amino acid; minor loss due to Maillard reaction,Boiling causes minimal loss; typical for amino acids
ile,Isoleucine,0.988,0.950,0.975,0.950,0.950,0.850,Mostly stable during steaming; no leaching observed.,Essential amino acid; not degraded under typical roasting temperatures.,Essential amino acid; structure retained during cooking.,Branched-chain AA; stable under dry heat,Heat-stable essential amino acid; minimal degradation,Amino acids are heat-stable; minor leaching
leu,Leucine,0.988,0.950,0.975,0.950,0.950,0.850,Minimal breakdown under steaming; nearly full retention assumed.,Stable branched-chain amino acid during roasting.,Stable branched-chain amino acid.,Essential BCAA; thermally stable in meat,Stable under frying conditions,Stable in boiling; denatured proteins retain AAs
lys,Lysine,0.988,0.900,0.950,0.850,0.900,0.850,Mostly heat-stable; retained in steamed vegetables and meats.,Some sensitivity to Maillard reaction; retention slightly lower than other AAs.,"May form Maillard compounds under extreme heat, but retained in microwave settings.",Partially degraded in Maillard reaction; heat-labile,Moderately reactive; may degrade in Maillard browning,"Somewhat heat sensitive, but retained well in water"
met,Methionine,0.988,0.950,0.975,0.900,0.950,0.850,Mostly stable sulfur-containing amino acid; minimally lost during steaming.,Moderately heat-stable; no significant loss during roasting.,Heat-stable sulfur amino acid; preserved during microwave cooking.,Sulfur-containing; moderately heat-sensitive,Relatively stable sulfur amino acid,Stable sulfur-containing amino acid
cys,Cysteine,0.988,0.950,0.975,0.850,0.900,0.800,Minimal loss in steaming.,Slight oxidation risk but generally stable.,"Sulfur-containing; some volatility, but minimal loss in microwave times.",Highly sensitive sulfur amino acid; degrades in high heat,Sensitive sulfur-containing amino acid; heat-labile,Most heat-sensitive AA; slightly lower retention
phe,Phenylalanine,0.988,0.950,0.975,0.950,0.950,0.850,Retained almost completely in moist-heat processes like steaming.,Stable aromatic amino acid during roasting.,Aromatic amino acid; heat-stable.,Aromatic amino acid; stable during grilling,Stable aromatic amino acid,Heat-stable aromatic amino acid
thr,Threonine,0.988,0.950,0.975,0.900,0.950,0.850,Mostly stable essential amino acid; minimal loss in short-duration steam.,No specific roasting loss; grouped with other essential amino acids.,Stable under microwave heating; no degradation reported.,Moderate thermal stability; slight degradation,Minor degradation; otherwise stable,Stable AA; no significant boiling degradation
trp,Tryptophan,0.988,0.950,0.950,0.850,0.900,0.800,Sensitive to oxidation but retained under gentle steam.,Sensitive to UV/light but heat-stable; well retained in roasting.,"Slightly sensitive to oxidation, but generally retained.",Heat-sensitive aromatic AA; prone to oxidation,Heat-sensitive aromatic amino acid,Heat-sensitive; lowest stability among AAs
val,Valine,0.988,0.950,0.975,0.950,0.950,0.850,Minimally degraded in steam; nearly full retention.,Branched-chain amino acid; stable in dry heat.,BCAA; retained under low-water heat treatment.,Stable BCAA; not easily denatured,Branched-chain AA; stable under high heat,Branched-chain AA; heat stable
ala,Alanine,0.988,0.950,0.975,0.950,0.950,0.850,Mostly heat-stable; no data shows significant loss in steaming.,Non-essential amino acid; retained under dry-heat conditions.,Stable non-essential amino acid.,Simple AA; stable under heat,Non-essential amino acid; heat-stable,"Non-essential, highly stable"
arg,Arginine,0.988,0.950,0.975,0.900,0.950,0.850,Steaming does not generally affect arginine content in plant/animal sources.,Stable basic amino acid; retained well in meat/vegetable matrices.,Stable; no breakdown in typical microwave conditions.,Moderately sensitive; may degrade in high-heat meat,Minimal degradation under frying,Stable during moist heat
asp,Aspartic acid,0.988,0.950,0.975,0.900,0.950,0.850,Not generally degraded in steam.,Acidic amino acid; not prone to degradation under roasting.,Heat-resistant; no microwave-induced changes.,May degrade slightly; otherwise stable,Stable under heat,Stable acidic amino acid
glu,Glutamic acid,0.988,0.950,0.975,0.900,0.950,0.850,Glutamate is mostly stable; not leached or degraded.,Stable; no loss under typical roasting conditions.,Very stable; no leaching in microwave method.,Important flavor AA; moderately retained,Fairly stable; minor loss possible,Heat-stable; no loss expected in boiling
gly,Glycine,0.988,0.950,0.975,0.950,0.950,0.850,Non-essential and mostly stable under steam.,Smallest amino acid; stable during dry roasting.,Non-essential and stable amino acid.,"Simple, stable under dry heat",Small molecule amino acid; stable,Smallest amino acid; stable in boiling
pro,Proline,0.988,0.950,0.975,0.900,0.950,0.850,Minimal degradation observed; mostly retained in steamed food.,Stable during roasting; no degradation evidence.,Cyclic amino acid; stable to microwave heat.,Stable; part of collagen; gelatinizes with heat,Stable; may participate in Maillard reaction,Cyclic amino acid; retained during moist heat
ser,Serine,0.988,0.950,0.975,0.900,0.950,0.850,No data shows significant loss; assumed almost full retention.,No observed losses under roasting; included in total protein stability.,Stable polar amino acid.,Moderate thermal stability; some degradation,Stable; some loss during prolonged frying,Stable in boiling; typical retention
tyr,Tyrosine,0.988,0.950,0.975,0.900,0.950,0.850,Mostly stable; almost fully retained under moist cooking.,Stable aromatic amino acid; not heat-labile.,"Phenol-containing, but stable to microwave conditions.",Aromatic AA; stable but can oxidize,Aromatic AA; minor oxidation risk,Aromatic AA; stable
oxalt,Oxalates,1.000,0.900,0.900,0.900,0.950,0.850,Total oxalates not significantly reduced during steaming unless leached (minimal here).,"Some oxalates reduced with roasting, but losses minimal in dry heat.",Partial leaching possible; minimal in microwave cooking.,Mostly stable unless leached; dry grilling preserves,Mostly stable; slight thermal degradation possible,Moderate leaching in boiling; retention variable by matrix
oxals,Soluble Oxalate,1.000,0.900,0.900,0.800,0.900,0.700,"May reduce slightly in boiling, but steaming minimizes leaching—100% assumed.",Soluble oxalates slightly reduced under dry heat.,Some loss expected due to solubility in any surface moisture.,May leach in drippings; moderate loss,More prone to loss compared to insoluble forms,Water-soluble; substantial leaching expected
oxali,Insoluble Oxalate,1.000,0.900,0.950,0.950,0.980,0.950,"Stable under steaming; not water-soluble, so no loss.",Less mobile than soluble forms; modest decrease with prolonged heat.,More stable form; retained during low-water microwave use.,Structurally stable; remains post-grill,Stable during frying,Not water-soluble; largely retained
caconac,Cis-Aconitic acid,0.950,0.900,0.900,0.800,0.900,0.850,Organic acids like this are stable; minor loss possible.,Organic acid; partial degradation expected during roasting.,Organic acid; partial degradation at longer durations.,Organic acid; some thermal breakdown,Organic acid; minor degradation,Organic acid; assumed retention based on structure
citac,Citric acid,0.950,0.900,0.900,0.800,0.900,0.850,"Some leaching possible, but steam retains most.",Heat-sensitive; minor losses via volatilization or breakdown.,Heat-stable but may degrade slightly under prolonged heat.,Volatile in heat; some degradation expected,"Heat-stable, though can degrade with prolonged frying",Stable; some leaching may occur
fumac,Fumaric acid,0.950,0.900,0.900,0.850,0.900,0.850,"Slight loss via heat, but largely retained under steam.",Relatively stable under roasting conditions.,Stable dicarboxylic acid; minimal microwave effect.,Moderate stability in dry heat,Relatively stable dicarboxylic acid,Stable during boiling
malac,Malic acid,0.950,0.900,0.900,0.800,0.900,0.850,Stable in moist heat; minor degradation possible.,Mild degradation during high-temperature dry heat.,Loss possible with extended cooking; otherwise stable.,Degrades at high temp; moderate retention,Some thermal degradation possible,Fruit acid; minor leaching
quinac,Quinic acid,0.950,0.900,0.900,0.850,0.900,0.850,Generally stable under steaming; retained well.,Stable organic acid; minimal roasting impact.,Plant acid; microwave-stable within 0–5 mins.,Moderately stable under dry heat,Stable under moderate heating,Stable phenolic-related acid
sucac,Succinic acid,0.950,0.900,0.900,0.850,0.900,0.850,"Slightly volatile, but mostly retained under moist heat.",Heat-stable dicarboxylic acid; generally retained.,Low degradation under short microwave exposure.,Partial loss via decomposition at high temp,Minor thermal sensitivity,"Stable, retained well in boiling"
tarac,Tartaric acid,0.950,0.900,0.900,0.850,0.900,0.850,Minor thermal breakdown possible; 95% assumed.,Stable under roasting; no reported volatility or degradation.,Stable; leaching unlikely due to low water.,Stable organic acid; minimal degradation,Resistant to heat; minor breakdown,Stable under heat; retained in cooking
dhbenzac34,"3,4-Dihydroxy Benzoic acid",0.925,0.850,0.900,0.800,0.850,0.800,Polyphenolic acid stable in steam; retained mostly.,Phenolic acid; partial degradation due to oxidation.,Phenolic; partial degradation through oxidation.,Polyphenol acid; moderately heat-sensitive,Phenolic acid sensitive to oxidation,Phenolic acid; moderate boiling loss
hbenzal3,3-Hydroxy Benzaldehyde,0.925,0.850,0.900,0.800,0.850,0.800,Aldehydes may oxidize slightly but are retained.,Moderate sensitivity to oxidation during roasting.,Stable aromatic; minor oxidative loss expected.,Volatile; may degrade partially,Moderately heat-labile,Phenolic aldehyde; some loss with prolonged boiling
pcathac,Protocatechuic acid,0.925,0.850,0.900,0.800,0.850,0.800,Steam cooking preserves this well; slight loss assumed.,Partial retention; phenolics moderately degraded by roasting.,Partial oxidation at high power; retained in typical microwave use.,Phenolic acid; moderately lost via heat,Partial degradation under frying,Common phenolic acid; stable to heat
vanlac,Vanillic acid,0.925,0.850,0.900,0.800,0.850,0.800,Stable aromatic acid; retained in heat.,Stable to moderate roasting; minor losses expected.,Moderately heat-stable phenolic acid.,Aromatic acid; moderate heat loss,Heat-sensitive aromatic acid,Phenolic acid; stable with minor degradation
gallac,Gallic acid,0.925,0.850,0.900,0.750,0.850,0.800,Steam preserves most phenolic acids like gallic.,Polyphenol with antioxidant properties; partially retained under heat.,Heat- and oxidation-sensitive; ~10% loss assumed.,Highly reactive; degrades under grilling,Sensitive polyphenol; prone to degradation,Moderately retained during boiling
cinmac,Cinnamic acid,0.925,0.850,0.900,0.850,0.850,0.800,Stable during steaming; not lost.,Stable aromatic acid; modest loss due to volatilization.,Stable at microwave temperature.,Moderately stable aromatic acid,Aromatic acid with moderate stability,Stable aromatic acid
coumaco,o-Coumaric acid,0.925,0.850,0.900,0.800,0.850,0.800,Assumed similar to p-Coumaric acid—well retained.,Phenolic; retained well under dry roasting.,Phenolic acid class; stable under standard microwave use.,Phenolic acid; some thermal degradation,Phenolic acid; degradation with heat,Boiling causes minor polyphenol loss
coumacp,p-Coumaric acid,0.925,0.850,0.900,0.800,0.850,0.800,Polyphenol stable under steaming.,Similar to o-coumaric acid; stable with minimal degradation.,Similar to o-coumaric; no loss reported under short microwaving.,Similar to o-isomer; moderate loss,Same as o-coumaric acid; moderate stability,Same as above
caffac,Caffeic acid,0.925,0.850,0.900,0.750,0.850,0.800,Well-preserved under steaming conditions.,Moderate heat sensitivity; some degradation in prolonged roasting.,Susceptible to oxidation; partially lost (~10%) in microwave.,Heat-labile; oxidation-prone,Heat-sensitive antioxidant,Stable phenolic acid; assumed ~80% retained
chlrac,Chlorogenic acid,0.925,0.850,0.900,0.750,0.800,0.800,Steam retains >90% in studies on vegetables.,"Chlorogenic acid reduced during roasting, especially in coffee beans.",Reported losses in broccoli; ~10% retained loss.,Very heat-sensitive; degraded during grilling,Notoriously heat-sensitive; breaks down in frying,Common in plants; moderate retention
ferac,Ferulic acid,0.925,0.850,0.900,0.800,0.850,0.800,Phenolic acid resistant to thermal breakdown; retained.,Stable to moderate roasting; minor degradation with prolonged heat.,Phenolic with some heat sensitivity; 10% degradation assumed.,Some thermal stability; partial degradation,More stable than caffeic acid; still susceptible,Heat-stable; minor degradation
apigen,Apigenin,0.925,0.850,0.900,0.800,0.850,0.800,Flavone compound retained in vegetables post steaming.,Stable flavonoid; partially degraded with prolonged roasting.,Stable flavone; no major loss in low-water conditions.,Flavonoid; moderate loss during dry heat,Flavonoid with moderate heat stability,Flavonoid; boiling causes minor losses
apigen6cgls,Apigenin-6-C-gluoside,0.925,0.850,0.900,0.750,0.800,0.800,Stable under steam conditions; slight oxidation possible.,Glycoside form is moderately sensitive to heat.,Glycosylated form; stable under short microwave use.,Flavonoid glycoside; heat-labile,Glycosides tend to degrade during frying,Water-soluble flavonoid glycoside; assumed same as aglycone
apigen7onshps,Apigenin-7-O-neohesperidoside,0.925,0.850,0.900,0.750,0.800,0.800,Glycosides like this are typically retained.,Similar to other apigenin glycosides; partial degradation under roasting.,Heat-tolerant glycoside.,Complex glycoside; unstable,Partial loss expected,Same as above
luteol,Luteolin,0.925,0.850,0.900,0.800,0.850,0.800,Flavonoid stable in steam.,Flavone; generally stable but sensitive to oxidation.,Flavonoid; stable unless high heat or prolonged exposure.,Heat-sensitive; flavonoid class,Flavone; moderate degradation,Stable flavone; minor boiling degradation
kaemf,Kaempferol,0.925,0.850,0.900,0.800,0.850,0.800,Studies show high retention during steaming in kale/spinach.,Heat-stable to moderate levels; partial degradation possible.,Stable flavonol; ~10% oxidation expected.,Flavonol; moderate heat stability,Flavonol with moderate heat stability,Flavonol; stable to moist heat
querce,Quercetin,0.925,0.850,0.900,0.800,0.750,0.800,"Quercetin and glycosides retained in steamed onion, broccoli.","Quercetin is relatively stable, especially in dry conditions.",Reported losses in vegetables; flavonoid oxidizes slightly.,Most common flavonol; moderately heat-sensitive,Well-documented thermal sensitivity,Average polyphenol retention in boiling
querce3bdgls,Quercetin-3-β-D-glucoside,0.925,0.850,0.900,0.750,0.750,0.800,Flavonol glycosides are stable.,Glycosylated form moderately stable; some breakdown in heat.,Glycoside form; moderate stability under microwave heat.,Glycosylated form; more prone to degradation,Glycoside form also degrades with heat,Flavonoid glycoside; similar to parent aglycone
querce3ortns,Quercetin-3-O-rutinoside,0.925,0.850,0.900,0.750,0.750,0.800,Stable under short-duration moist heat.,Rutinoside form retains bioactivity post-roasting with some degradation.,Similar retention to other quercetin derivatives.,Flavonoid rutinoside; heat-labile,Similar degradation profile,Heat-stable glycoside
querce3bgls,Quercetin-3-β-galactoside,0.925,0.850,0.900,0.750,0.750,0.800,Polyphenol has good retention with steam.,Similar degradation pattern as other quercetin glycosides.,Heat-stable unless microwaved beyond 5 minutes.,Flavonoid sugar complex; unstable under heat,Moderate degradation during frying,Similar retention pattern as other glycosides
isormt,Isorhamnetin,0.925,0.850,0.900,0.800,0.800,0.800,Flavonoid stable in steam conditions.,Stable flavonol; slight reduction in antioxidant properties post-roasting.,Stable methoxylated flavonol; oxidizes minimally.,Flavonol; moderate retention,Moderately stable methylated flavonoid,Methylated quercetin derivative; assumed similar
myrct,Myricetin,0.925,0.850,0.900,0.800,0.800,0.800,Polyphenol retained in leafy greens after steaming.,Heat-stable to moderate roasting; antioxidant loss is time-dependent.,Sensitive to oxidation; 10% loss assumed.,Polyhydroxylated flavonol; degrades partially,Heat-sensitive polyphenol,Flavonol; assumed stable
rsvrtol,Resvertrol,0.925,0.800,0.900,0.750,0.750,0.800,Phenolic compound stable under moist heat.,Heat-sensitive stilbene; degradation occurs rapidly under roasting.,Polyphenol; degrades slightly with heat.,Heat-sensitive polyphenol; degradation expected,Oxidizes and degrades with high heat,Polyphenol; modest boiling loss
hespt,Hesperetin,0.925,0.850,0.900,0.800,0.800,0.800,Flavonoid aglycone; stable under heat.,Citrus flavonoid; retains bioactivity after moderate roasting.,Citrus bioflavonoid; stable in microwave use.,Flavanone; moderate stability,Moderately stable flavanone,Citrus flavanone; stable
narng,Naringenin,0.925,0.850,0.900,0.800,0.800,0.800,Citrus polyphenol; not affected by steam.,Heat-stable; antioxidant properties slightly reduced.,Flavanone; microwave exposure causes minor oxidative loss.,Flavanone; degrades with extended heat,Heat-sensitive citrus flavonoid,Similar to hesperetin; moderate retention
hespd,Hesperdin,0.925,0.850,0.900,0.750,0.800,0.800,Flavonoid glycoside retained in citrus peels under steaming.,Glycosylated form of hesperetin; partial retention during roasting.,Stable glycoside of hesperetin.,Flavonoid glycoside; sensitive to thermal breakdown,Glycoside form of hesperetin; partial breakdown,Glycosylated flavonoid; stable
daidzn,Daidzein,0.925,0.850,0.900,0.800,0.850,0.850,Soy isoflavone; retained in steam-cooked soy.,Stable isoflavone; minimal degradation reported.,Isoflavone; heat-stable in microwave cooking.,Isoflavone; relatively stable,Stable isoflavone under most cooking conditions,Heat-stable isoflavone
gnstein,Genistein,0.925,0.850,0.900,0.800,0.850,0.850,No significant loss under steam.,Same as daidzein; modest decrease in high-heat conditions.,Stable to microwave treatment.,Moderately stable isoflavone,Similar to daidzein in stability,Similar to daidzein; stable in boiling
epicatec,(-)-Epicatechin,0.925,0.850,0.900,0.750,0.800,0.800,Antioxidant polyphenol; retained after steaming.,Moderately heat-sensitive; degraded in cocoa roasting above 140°C.,Sensitive to prolonged heat; ~10% oxidative loss.,Heat-sensitive catechin; prone to oxidation,Flavanol degraded at high temperatures,Catechin; some degradation with long boiling
epicategc,(-)-Epigallo catechin,0.925,0.850,0.900,0.750,0.750,0.800,Catechin stable in tea leaves/greens when steamed.,Similar behavior to epicatechin; slight degradation under dry heat.,Retained under short microwaving.,Very heat-sensitive polyphenol,Highly heat-sensitive catechin,EGC is polyphenolic; sensitive to prolonged heat
epicatgc3gal,(-)-Epigallo catechin 3-gallate,0.925,0.800,0.900,0.700,0.700,0.800,EGCG shows high retention in gentle steam processing.,More labile due to galloyl group; partial roasting degradation.,Slight degradation due to galloyl group.,Highly unstable under heat,Degraded under deep-frying,EGCG; known to degrade modestly in boiling
catec,(+)-Catechin,0.925,0.850,0.900,0.750,0.800,0.800,Catechins generally stable under steam.,Stable in most dry roasting; minor antioxidant loss over time.,Stable at microwave temperatures.,Degraded via oxidation during grilling,Moderate heat sensitivity,Moderately stable
galcatecgal,(-)-Gallocatechin gallate,0.925,0.800,0.900,0.700,0.700,0.800,Stable in steaming; minor oxidation may occur.,Gallate form less stable; heat exposure reduces concentration.,Phenolic compound; stable under short microwave times.,Most heat-labile flavanol; degrades significantly,Prone to oxidation and thermal degradation,Assumed similar to EGCG
galcatec,(-)-Gallocatechin,0.925,0.850,0.900,0.750,0.750,0.800,Same as EGCG; steam doesn't degrade it.,Stable flavanol; loss varies by time/temperature.,Minor loss due to phenolic oxidation.,Flavanol; some oxidation during grilling,Sensitive to frying conditions,Flavanol; slightly more stable
syrgac,Syringic acid,0.925,0.850,0.900,0.800,0.850,0.800,Phenolic acid retained post steam cooking.,Stable phenolic; minimal heat-induced degradation.,Moderately stable antioxidant; minimal degradation.,Stable aromatic acid; minor degradation,Moderately heat-stable,Phenolic acid; boiling effect minimal
sinpac,Sinapinic acid,0.925,0.850,0.900,0.800,0.850,0.800,Stable during steam processing of crucifers and seeds.,Relatively stable; slight decrease in prolonged roasting.,Reported degradation in microwaved broccoli.,Phenolic acid; moderate heat loss,Stable phenolic under mild frying,Hydroxycinnamic acid; stable
ellgac,Ellagic acid,0.925,0.850,0.900,0.800,0.850,0.800,Polyphenol not degraded under steaming.,Stable antioxidant; minor degradation over time.,Polyphenol; stable to mild microwave treatment.,Partially retained; some degradation under grill heat,Moderate stability; antioxidant activity declines,Common antioxidant; relatively stable
polyph,Polyphenols,0.925,0.850,0.900,0.780,0.800,0.800,Composite class; steam retains most antioxidants.,Aggregate retention for phenolics; depends on class and matrix.,Aggregate group; estimated average retention of 80–95%.,Average across all polyphenol types; prone to oxidation,Group average; partial loss from oxidation and heat,Grouped average from phenolic acids & flavonoids
rafs,Raffinose,0.900,0.900,0.950,0.850,0.900,0.850,"Some degradation reported in legumes, but steam retains most.",Oligosaccharide; retained well in dry roasting.,Stable trisaccharide; microwave heat does not degrade oligosaccharides.,Oligosaccharide; may partially degrade under prolonged grilling,Stable oligosaccharide,Stable trisaccharide; partial leaching possible
stas,Stachyose,0.900,0.900,0.950,0.850,0.900,0.850,Steam reduces this slightly; less than boiling.,Similar behavior to raffinose; minimal degradation in dry heat.,Same behavior as raffinose; retained during microwaving.,Similar oligosaccharide; moderate thermal sensitivity,Stable with minor degradation,Oligosaccharide; leaches slightly in boiling
vers,Verbascose,0.900,0.900,0.950,0.850,0.900,0.850,Loss minimal in steam.,Stable under roasting; no major thermal decomposition.,No breakdown expected under short microwave heating.,Oligosaccharide; moderately heat-stable,Similar thermal behavior to other oligosaccharides,Same as other oligosaccharides
ajgs,Ajugose,0.900,0.900,0.950,0.850,0.900,0.850,Oligosaccharide degraded more by boiling; better retained in steam.,Heat-stable oligosaccharide; retained well.,Oligosaccharide class; stable under heat.,Estimated similar to other plant oligosaccharides,Assumed similar retention to verbascose,Assumed similar retention as other oligosaccharides
camt,Campesterol,1.000,0.850,0.950,0.880,0.850,0.950,Phytosterol stable under steaming.,Sterol; degrades slightly at high roasting temps.,Phytosterol; stable to microwaving.,Phytosterol; stable under moderate grill temps,Phytosterol slightly oxidized under frying,"Phytosterol; fat-like structure, stable"
stgstr,Stigmasterol,1.000,0.850,0.950,0.880,0.850,0.950,Phytosterol not degraded or leached.,Moderate loss; oxidation possible at >180°C.,Stable sterol; no breakdown under short cooking.,Similar to campesterol; heat-stable,Moderately heat-stable sterol,Stable in heat; plant sterol
stostrb,β-Sitosterol,1.000,0.850,0.950,0.880,0.850,0.950,Stable in moist-heat conditions.,Stable phytosterol; minimal loss unless roasting prolonged.,No loss in microwave cooking noted in literature.,Most common phytosterol; stable during dry heat,Most abundant phytosterol; slight degradation,Fat-soluble phytosterol; minimal degradation
phytac,Phytate,0.925,0.900,0.850,0.900,0.900,0.900,Steam reduces slightly but less than other methods.,Stable compound; roasting has minimal effect unless excessive temperature is used.,Heat-sensitive; partially degrades (~10–20%).,Heat-stable; minimal degradation under dry heat,Stable during frying; minor structural change possible,Stable; slight solubility in water
sapon,Saponins,0.950,0.900,0.900,0.850,0.850,0.950,"Retention in steam is high, based on legume studies.",Observed to increase in some studies due to heat-induced concentration.,Stable glycosides; some may degrade with prolonged heating.,Foaming plant compounds; may degrade partially under high heat,Thermally sensitive; degraded by heat,"Surface-active, but stable in heat"
